City Location Cluster,City,Restaurant_Count,Avg_Rating,Avg_Cost_INR,Avg_Price_Range,Most_Common_Cuisine,Dominant_Cost_Category
Gurgaon_0,Gurgaon,551,3.0337568058076223,827.9491833030853,2.043557168784029,North Indian,Medium
New Delhi_5,New Delhi,486,3.0899176954732512,721.7078189300412,1.8724279835390947,North Indian,Medium
New Delhi_3,New Delhi,438,3.028310502283105,945.2054794520548,2.029680365296804,North Indian,Medium
New Delhi_9,New Delhi,405,2.933827160493827,674.1975308641976,1.7555555555555555,North Indian,Medium
New Delhi_8,New Delhi,361,2.310803324099723,437.1191135734072,1.3933518005540166,North Indian,Budget
New Delhi_13,New Delhi,344,2.7063953488372094,783.7209302325581,1.7936046511627908,North Indian,Medium
New Delhi_22,New Delhi,292,2.641095890410959,565.3082191780821,1.6506849315068493,North Indian,Medium
New Delhi_12,New Delhi,282,2.152127659574468,424.11347517730496,1.3617021276595744,North Indian,Budget
Gurgaon_3,Gurgaon,272,2.4599264705882353,700.7352941176471,1.8676470588235294,North Indian,Medium
New Delhi_14,New Delhi,267,2.2367041198501876,398.50187265917606,1.3333333333333333,North Indian,Medium
Gurgaon_2,Gurgaon,247,2.31497975708502,540.2834008097166,1.534412955465587,North Indian,Medium
New Delhi_27,New Delhi,235,2.516170212765957,558.2978723404256,1.6212765957446809,North Indian,Medium
New Delhi_1,New Delhi,233,1.0171673819742488,419.31330472103,1.3776824034334765,North Indian,Budget
New Delhi_16,New Delhi,226,2.8460176991150443,509.1592920353982,1.5398230088495575,North Indian,Medium
New Delhi_21,New Delhi,208,2.712980769230769,481.00961538461536,1.4855769230769231,North Indian,Medium
New Delhi_10,New Delhi,178,3.008426966292135,588.4831460674158,1.7134831460674158,North Indian,Medium
New Delhi_18,New Delhi,174,1.8689655172413793,406.0344827586207,1.3275862068965518,North Indian,Budget
New Delhi_17,New Delhi,168,2.8517857142857146,555.6547619047619,1.6428571428571428,North Indian,Medium
New Delhi_19,New Delhi,164,2.042682926829268,536.280487804878,1.579268292682927,North Indian,Medium
New Delhi_23,New Delhi,158,1.7177215189873416,318.67088607594934,1.1962025316455696,North Indian,Budget
New Delhi_7,New Delhi,155,2.1799999999999997,510.64516129032256,1.4838709677419355,North Indian,Medium
New Delhi_25,New Delhi,153,2.280392156862745,575.4901960784314,1.6209150326797386,North Indian,Medium
New Delhi_20,New Delhi,148,3.2452702702702703,1365.2027027027027,2.4662162162162162,North Indian,Luxury
Noida_25,Noida,130,2.999230769230769,742.3076923076923,1.9230769230769231,North Indian,Medium
New Delhi_15,New Delhi,120,1.6075000000000002,832.0833333333334,1.975,North Indian,Medium
Noida_1,Noida,93,0.6559139784946236,412.36559139784947,1.3225806451612903,North Indian,Medium
New Delhi_11,New Delhi,69,1.6115942028985508,263.04347826086956,1.0869565217391304,North Indian,Budget
Noida_9,Noida,61,3.0868852459016396,990.983606557377,2.262295081967213,North Indian,Medium
New Delhi_26,New Delhi,60,0.04833333333333333,268.3333333333333,1.0666666666666667,North Indian,Budget
Noida_6,Noida,57,1.7982456140350878,408.7719298245614,1.3508771929824561,North Indian,Budget
New Delhi_6,New Delhi,53,1.4811320754716981,311.3207547169811,1.1886792452830188,North Indian,Budget
New Delhi_4,New Delhi,53,0.9018867924528301,362.2641509433962,1.2452830188679245,North Indian,Budget
Noida_16,Noida,52,2.5653846153846156,559.6153846153846,1.6730769230769231,North Indian,Medium
Noida_12,Noida,50,2.7560000000000002,547.0,1.64,North Indian,Medium
Noida_10,Noida,48,1.5479166666666666,382.2916666666667,1.375,North Indian,Medium
Gurgaon_1,Gurgaon,48,1.0791666666666666,375.4166666666667,1.2916666666666667,North Indian,Budget
Noida_3,Noida,47,2.095744680851064,593.6170212765958,1.702127659574468,North Indian,Medium
Noida_22,Noida,44,1.843181818181818,467.04545454545456,1.4772727272727273,Fast Food,Medium
